Date Of Sleep,Local Time Offset,Sleep Score,BedTime,Sleep Start Time,Wake Up Time,Get Up Time,Total In Bed Duration (hrs),Total Sleep Duration (hrs)
10/03/2021,-5,86.17063492,2021-03-10T03:27:25.000Z,2021-03-10T03:32:25.000Z,2021-03-10T10:46:25.000Z,2021-03-10T10:50:55.000Z,7.389,7.000
11/03/2021,-5,88.75376869,2021-03-11T02:38:34.000Z,2021-03-11T02:40:04.000Z,2021-03-11T11:17:34.000Z,2021-03-11T11:28:04.000Z,8.833,7.972
12/03/2021,-5,92.79047619,2021-03-12T02:53:23.000Z,2021-03-12T02:57:23.000Z,2021-03-12T11:09:53.000Z,2021-03-12T11:20:23.000Z,8.444,7.944
13/03/2021,-5,78.48605141,2021-03-13T02:30:27.000Z,2021-03-13T03:35:57.000Z,2021-03-13T11:55:27.000Z,2021-03-13T12:06:27.000Z,9.611,7.583
14/03/2021,-4,61.59111076,2021-03-14T04:06:25.000Z,2021-03-14T04:14:25.000Z,2021-03-14T10:44:55.000Z,2021-03-14T10:52:55.000Z,6.778,5.500
15/03/2021,-4,89.37941644,2021-03-15T02:38:23.000Z,2021-03-15T02:42:23.000Z,2021-03-15T10:37:23.000Z,2021-03-15T10:48:23.000Z,8.167,7.583
16/03/2021,-4,73.21637512,2021-03-16T01:56:48.000Z,2021-03-16T02:05:18.000Z,2021-03-16T10:31:18.000Z,2021-03-16T10:32:18.000Z,8.583,7.028
17/03/2021,-4,84.84154478,2021-03-17T02:14:03.000Z,2021-03-17T02:21:03.000Z,2021-03-17T10:43:33.000Z,2021-03-17T10:47:33.000Z,8.556,7.611
18/03/2021,-4,93.13492063,2021-03-18T02:42:35.000Z,2021-03-18T02:52:05.000Z,2021-03-18T10:52:35.000Z,2021-03-18T11:01:35.000Z,8.306,7.806
19/03/2021,-4,79.86685682,2021-03-19T02:28:32.000Z,2021-03-19T02:28:32.000Z,2021-03-19T10:05:02.000Z,2021-03-19T10:16:02.000Z,7.806,6.917
20/03/2021,-4,95.275,2021-03-20T01:50:28.000Z,2021-03-20T01:50:28.000Z,2021-03-20T10:30:28.000Z,2021-03-20T10:37:58.000Z,8.806,8.444
22/03/2021,-4,68.84087587,2021-03-22T02:32:06.000Z,2021-03-22T02:32:06.000Z,2021-03-22T10:38:36.000Z,2021-03-22T10:43:36.000Z,8.194,6.639
23/03/2021,-4,88.06031746,2021-03-23T02:30:21.000Z,2021-03-23T02:30:21.000Z,2021-03-23T09:46:51.000Z,2021-03-23T10:21:51.000Z,7.861,7.028
24/03/2021,-4,87.23015873,2021-03-24T03:02:11.000Z,2021-03-24T03:09:41.000Z,2021-03-24T10:16:11.000Z,2021-03-24T10:24:41.000Z,7.389,6.917
25/03/2021,-4,93.30634921,2021-03-25T02:45:37.000Z,2021-03-25T02:45:37.000Z,2021-03-25T10:50:37.000Z,2021-03-25T10:59:37.000Z,8.222,7.861
26/03/2021,-4,90.15406404,2021-03-26T02:28:19.000Z,2021-03-26T02:33:49.000Z,2021-03-26T10:55:49.000Z,2021-03-26T11:08:19.000Z,8.667,7.806
27/03/2021,-4,92.22777778,2021-03-27T01:40:31.000Z,2021-03-27T01:44:01.000Z,2021-03-27T10:00:01.000Z,2021-03-27T10:30:01.000Z,8.833,7.944
28/03/2021,-4,96.42777778,2021-03-28T00:54:40.000Z,2021-03-28T00:56:40.000Z,2021-03-28T10:19:40.000Z,2021-03-28T10:23:10.000Z,9.472,8.944
